asin,title,original_price,discounted_price,rating,weight,brand,categories
B000LQEV9Y,"SUNEX TOOLS 2300, 1/2"" Drive, Universal Impact Joint, Cr-Mo Steel, Radius Corner Design, Flexible, Meets ANSI Standards",24.60,15.49,4.80,0.4000000000,Sunex Tools,Automotive>Tools&Equipment
B000MFN1G8,"Bostitch Office Personal Electric Pencil Sharpener, Powerful Stall-Free Motor, High Capacity Shavings Tray, Black (EPS4-BLACK)",24.19,20.24,4.60,0.0100000000,Bostitch,"Arts,Crafts&Sewing>Painting,Drawing&ArtSupplies"
B000MITKOM,Lisle 47900 Hose Remover Pliers,12.85,11.48,4.70,0.4409240000,Lisle,Automotive>Tools&Equipment
B000N37BEC,Performance Tool W197C Parts Cleaning Brush,13.99,3.99,4.30,0.1600000000,Performance Tool,Automotive>CarCare
B000N9PZZI,"Shurhold 272 Scrub Brush with Soft, Comfort Handle with Finger Grips and a Safety Bumper",15.25,12.79,4.40,0.6834322000,‎Shurhold,Automotive>CarCare
B000NWGCZ2,Vanicream Moisturizing Skin Cream with Pump Dispenser - 16 fl oz (1 lb) - Moisturizer Formulated Without Common Irritants for Those with Sensitive Skin,16.43,13.43,4.60,1.0000000000,Vanicream,Beauty&PersonalCare>SkinCare
B000O3IEPG,"Perfect-It 3M Machine Polish, 05996, Easy Cleanup, Silicone Free, 1 qt (32 fl oz/946 mL)",64.99,49.62,4.60,2.2000000000,‎Perfect-It,Automotive>CarCare
B000PC954K,"Learning Resources Time Activity Mat, Homeschool, Learning Clock, Classroom Activity, Ages 5+",44.99,33.74,4.50,1.8000000000,Generic,BabyProducts>Activity&Entertainment
B000PENEMM,"3M Dry Guide Coat Kit 05861, Carbon Black Powder, No Ripples, No Masking, 1.75 oz (50 g)",74.25,53.00,4.80,0.5000000000,3M,Automotive>CarCare
B000RGBWPO,"Palmer's Cocoa Butter Formula Daily Skin Therapy Solid Lotion with Vitamin E, Body Moisturizer for Extremely Dry Skin, Softens and Soothes, 7.25 Ounces, (Pack of 1)",9.99,7.99,4.80,0.4406250000,Palmer's,Beauty&PersonalCare>SkinCare
B000RW1XCK,"3M Auto Glass Urethane Windshield Adhesive, 08693, Medium Viscosity, High-Strength, Fast-Curing, 310 mL/10.5 fl oz Cartridge , Black",19.82,16.15,4.60,0.9125000000,‎3M,Automotive>CarCare
B000RZPVV6,"NOW Solutions, Grapeseed Oil, Skin Care for Sensitive Skin, Light Silky Moisturizer for All Skin Types, 16-Ounce",12.99,9.55,4.70,1.0500000000,NOW,Beauty&PersonalCare>SkinCare
B000SONEQA,"Melissa & Doug First Bead Maze - Wooden Educational Toy for Floor, High Chair, or Table - Infant Maze Toy, Bead Maze Toys For Toddlers And Babies 4.2 x 7 x 8.6 inches ; 1.3 pounds",18.99,11.99,4.70,0.9687500000,Generic,Toys&Games>Baby&ToddlerToys
B000T1VZ3G,"L'Oreal Paris Men Expert Hydra Energetic Daily Anti-Fatigue Moisturizing Lotion, 1.6 Ounce",18.00,11.72,4.50,0.2381250000,L’Oréal Paris,Beauty&PersonalCare>SkinCare
B000U5TUWE,"Bracketron Nav-Mat Portable GPS Dash Pad, Converts Windshield GPS Mount into Dashboard Mount, Weighted Beanbag and Friction Base",24.99,18.99,4.50,2.0500000000,Bracketron,Automotive>CarElectronics&Accessories
